job_posting_id,title,description,location
91f35d6f-a1f3-46ad-a1fb-8a859617c2f0,Business Analyst - Journeyman,"Delta Solutions & Strategies is seeking a highly capable Business Analyst - Journeyman to support program operations for the Golden Dome contract in Huntsville, AL. This position will focus on records management, travel systems, and cross-functional coordination of HR, training, and administrative processes. The ideal candidate will bring strong organizational and communication skills, experience supporting geographically dispersed teams, and a proven track record in Air Force business operations.

***Anticipated Start Date: TBD (Expected Late 2025)***
","Huntsville, AL"
3955c373-ff9a-4422-afd2-586b038e6c3f,Product Analytics Manager,"About Achievers
Achievers offers more than just a thank you program. Our employee recognition and rewards software inspires employees to recognize everyone, every day, everywhere. With nearly 4 million global users, we empower employees across 170+ countries. Visit us at achievers.com to learn more and check out our platform in action. Join our team of A-players who bring passion to our purpose and believe that meaningful change creates extraordinary outcomes — together, we’ll inspire recognition everywhere and achieve results that matter. 

Our commitment to you: 
At Achievers, we hire you for you because we value the unique perspective and individuality that each person brings to our team. We are committed to creating an inclusive, diverse, and equitable workplace where you belong, and your contributions are celebrated. Together, we achieve more by combining our unique strengths, fostering collaboration, and inspiring each other to reach new heights. 

The opportunity: 


Data is the heart of our strategy—and you'll be the expert who bridges product, engineering, and customer success to shape decisions that reach both internal stakeholders and end-users. Help shape a platform that strengthens workplace culture at scale. Thrive in a mission-driven company that values experimentation, autonomy, and meaningful recognition.
",Toronto
f82358c2-a0aa-4b83-8a9b-ccffbb4245d7,"Principal Business Analyst / Product Owner - Risk Platforms, New York","Lab49 is looking for a Senior Business Analyst / Product Owner to join our high-performance team in delivering software solutions for leading financial institutions. This role is ideal for someone who thrives at the intersection of risk domain knowledge, technology, and product ownership, and has worked extensively with Market Risk, Credit Risk, and Counterparty Risk systems. 
You’ll be instrumental in analyzing, designing, and delivering enterprise-grade platforms that support risk data management, risk analytics, and regulatory compliance for top-tier financial institutions. 
",New York
267901a5-54d8-4acb-a1b4-e78ff84e4ad1,"Sr. Manager of Analytics - Austin, TX (Hybrid)","Luxury Presence is the leading digital platform revolutionizing the real estate industry for agents, teams, and brokerages. Our award-winning websites, cutting-edge marketing solutions, and AI-powered mobile platform empower real estate professionals to grow their business, operate more efficiently, and deliver exceptional service to their clients. Trusted by over 80,000 real estate professionals, including 31 of the nation’s 100 top-performing agents as published in the Wall Street Journal, Luxury Presence continues to set the standard for innovation and excellence in real estate technology.


Why Now?

We’ve enjoyed tremendous growth over the last five years - and with that comes a treasure trove of data. We’re looking for an experienced, organized analytics leader to own our core business metrics, data cleanliness, and self-serve insights for GTM and cross-functional teams. You’ll start by standardizing definitions, modeling data, and building clear dashboards, then lean into a product-management mindset to prioritize roadmaps, deliver internal data tools, and help teams get fast, trustworthy answers.
","Austin, TX"
844b1766-ba4a-4aab-8e57-cfa674c12d84,Financial Reporting Manager,"Position: Financial Reporting Manager 
Location: US (Remote)
Reports to: Director - Accounting & Corporate Controller

About Us
HighLevel is an AI powered, all-in-one white-label sales & marketing platform that empowers agencies, entrepreneurs, and businesses to elevate their digital presence and drive growth. We are proud to support a global and growing community of over 2 million businesses, comprised of agencies, consultants, and businesses of all sizes and industries. HighLevel empowers users  with all the tools needed to capture, nurture, and close new leads into repeat customers. As of mid 2025, HighLevel processes over 4 billion API hits and handles more than 2.5 billion message events every day. Our platform manages over 470 terabytes of data distributed across five databases, operates with a network of over 250 microservices, and supports over 1 million hostnames.

Our People
With over 1,500 team members across 15+ countries, we operate in a global, remote-first environment. We are building more than software; we are building a global community rooted in creativity, collaboration, and impact. We take pride in cultivating a culture where innovation thrives, ideas are celebrated, and people come first, no matter where they call home.

Our Impact
As of mid 2025, our platform powers over 1.5 billion messages, helps generate over 200 million leads, and facilitates over 20 million conversations for the more than 2 million businesses we serve each month. Behind those numbers are real people growing their companies, connecting with customers, and making their mark - and we get to help make that happen.

Who You Are: 
You are an experienced and detail-oriented professional with a deep understanding of public company filing requirements and the skill set to drive process improvements as the company prepares for scale and, potentially, the public markets. You have a strong command of U.S. GAAP and SEC regulations, along with a proven ability to lead the preparation of 10-Ks, 10-Qs, and other filings. You’ve successfully worked through public company readiness or have supported companies transitioning into life as a public company.
You thrive in a fast-paced, evolving environment and are comfortable building reporting infrastructure from the ground up, including establishing reporting calendars, implementing controls, and coordinating cross-functional teams. You’re proactive, highly organised, and an excellent communicator who can translate complex financial information into clear, investor-facing narratives. You’re also passionate about mentoring others, fostering education around public company requirements, and helping build a world-class reporting function that’s audit- and investor-ready.
",United States
743ff344-195e-4a0e-a6a6-c79458e2213a,"Consultant, Commercial Operations & Analytics","Beghou brings over three decades of experience helping life sciences companies optimize their commercialization through strategic insight, advanced analytics, and technology. From developing go-to-market strategies and building foundational data analytics infrastructures to leveraging artificial intelligence to improve customer insights and engagement, Beghou helps life sciences companies maximize performance across their portfolios. Beghou also deploys proprietary and third-party technology solutions to help companies forecast performance, design territories, manage customer data, organize, and report on medical and commercial data, and more. Headquartered in Evanston, Illinois, we have 10 global offices. 

Our mission is to bring together analytical minds and innovative technology to help life sciences companies navigate the complexity of health care and improve patient outcomes.


This position more independently researches, organizes, analyzes, and visualizes client data, to support the conception, execution, and integration of various data projects for the commercial efforts of pharmaceutical and life science firms.  This position also more independently implements, supports, and facilitates various solutions that help clients be better positioned for product launch and commercial success. 

","Rockville, Maryland"
9fd4a2fa-22a3-45be-83a1-13eb5b07184d,Data Analytics Engineer,"Sensor Tower is seeking a Data Analytics Engineer to join our Innovation and Strategy team as it continues to grow and deliver cutting-edge market intelligence solutions to our most valued clients. Reporting directly to the Director of Innovation and Strategy, this role offers a unique opportunity for someone with hands-on experience in data analytics and consulting. You will collaborate directly with customers and engineers to develop and implement innovative market data solutions, contributing to Sensor Tower's leadership in the industry.

Base Salary: $115,000 - $130,000
Hybrid: This role requires three days in the office and allows two days of remote work.
",Culver City
e9e5ba7d-bbae-44a1-bc37-95bad9500a2e,Business Operations & Analytics Lead,"About Lumafield: 

Lumafield was founded in 2019 to upgrade manufacturing. 

We are engineers with deep experience across the product development cycle, from initial ideas to shipping hardware, across industries and specializations, who became frustrated by the cost and complexity of modern manufacturing. So we decided to upgrade it. 

Engineers make million-dollar decisions every day, and they need tools that give them the greatest possible insight into their products. By offering unprecedented visibility into products, as well as AI-driven tools that highlight problems and generate quantitative data, Lumafield promises to revolutionize the way complex products are created, manufactured, and used across industries. We started with industrial CT scanning, which for us was the most valuable but underutilized tool in the manufacturing toolbox, enabling us to rapidly inspect essential components non-destructively. 

 We rebuilt the whole system, from X-ray capture, to computer vision analysis, to web-based collaboration, to the entire business model, making the most advanced manufacturing tech more accessible to every industry. Our company, like our platform, is designed for upgrades. We’re building for greater intelligence, autonomy, and speed. For deeper vision, operational excellence, and powerful insights. And then we'll upgrade it all again. 

Lumafield is headquartered in Cambridge, MA, and has an office in San Francisco, CA. 


About the role:   
The ideal candidate for this role comes from a background with a mix of analytical and project management experience. The team and role sits perfectly at the intersection of strategy, data, systems, and process. Our BizOps mandate is to generate recommendations, stand up V0/V1 processes and systems, and either spin them out into departments or continue operating them when that’s higher leverage. We are looking for a data-centric generalist to own high-leverage analyses, build the first version of lightweight processes/tools, and partner across GTM, Finance, and Operations to make the business measurably faster and smarter.
","Boston, MA"
f9f5fcec-3828-4589-9f3d-d766bc2b834d,Business Analyst - Federal Sector,"Procon Consulting, a fast-growing professional services firm in McLean, VA with expertise in construction management (CM), construction-related technology, space planning, and facilities management, seeks a skilled Business Analyst to join our team. This position is focused on performing advanced data analysis, developing and maintaining enterprise-level reporting systems, and collaborating with stakeholders to align technology solutions with business goals. The ideal candidate will bring a balanced mix of technical proficiency and business acumen, contributing to a wide range of IT and business intelligence initiatives.

The Business Analyst will play a vital role in planning, designing, and delivering high-impact reporting solutions that support decision-making and operational efficiency. This position interfaces with clients, project teams, and internal stakeholders to define requirements, implement reporting tools, and ensure continuous improvement across systems and processes. As a collaborative team member, the Business Analyst will also provide guidance to junior staff and contribute to strategic IT initiatives within the organization.
",Fully Remote (Various Locations)
5e71a0a9-952b-4153-87a9-3762f2ac133a,Senior Accountant - STAT Reporting,"Arbol is a global climate risk coverage platform and FinTech company offering full-service solutions for any business looking to analyze and mitigate exposure to climate risk. Arbol’s products offer parametric coverage which pays out based on objective data  triggers rather than subjective assessment of loss. Arbol’s key differentiator versus traditional InsurTech or climate analytics platforms is the complete ecosystem it has built to address climate risk. This ecosystem includes a massive climate data infrastructure, scalable product development, automated, instant pricing using an artificial intelligence underwriter, blockchain-powered operational efficiencies, and non-traditional risk capacity bringing capital from non-insurance sources. By combining all these factors, Arbol brings scale, transparency, and efficiency to parametric coverage.


The Senior Accountant / Director of Accounting, reporting to the Chief Financial Officer, will serve as the technical accounting leader for the company. This role is responsible for providing expert guidance on U.S. Statutory Accounting Principles (SSAP), U.S. GAAP, and other applicable insurance accounting frameworks. The role will lead the preparation and submission of statutory financial statements for P&C entities, ensuring full compliance with NAIC guidelines and state insurance regulations. This role requires a seasoned professional with hands-on experience in P&C-specific schedules, loss reserve analysis, and reinsurance accounting.
The ideal candidate for this role has extensive statutory accounting experience, deep expertise in the insurance and reinsurance industry, and a proven track record of developing, implementing and improving processes in insurance and startup environments. 

","Sarasota, Florida"
